#,station,stationTamil,line,direction,sequence,platform,level,type,isTerminal,duration,terminalStation,terminalStationTamil,id
1,Chennai Airport,சென்னை விமான நிலையம்,Blue,onward,1,P1,L1,train,TRUE,,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Chennai Airport - P1 - L1
2,Meenambakkam Metro,மீனம்பாக்கம் மெட்ரோ,Blue,onward,2,P2,L1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Meenambakkam Metro - P2 - L1
3,OTA Nanganallur Road,OTA நங்கநல்லூர் ரோட்,Blue,onward,3,P2,L1,train,FALSE,5,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,OTA Nanganallur Road - P2 - L1
4,Arignar Anna Alandur Metro,அறிஞர் அண்ணா ஆலந்தூர் மெட்ரோ,Blue,onward,4,P2,L1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Arignar Anna Alandur Metro - P2 - L1
5,Guindy Metro,கிண்டி மெட்ரோ,Blue,onward,5,P2,L1,train,FALSE,3,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Guindy Metro - P2 - L1
6,Little Mount,லிட்டில் மவுண்ட்,Blue,onward,6,P2,L1,train,FALSE,3,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Little Mount - P2 - L1
7,Saidapet,சைதாபேட்டை,Blue,onward,7,P2,B1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Saidapet - P2 - B1
8,Nandanam,நந்தனம்,Blue,onward,8,P2,B1,train,FALSE,3,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Nandanam - P2 - B1
9,Teynampet,தேனாம்பேட்டை,Blue,onward,9,P2,B1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Teynampet - P2 - B1
10,AG-DMS,ஏஜி-டிஎம்எஸ்,Blue,onward,10,P2,B1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,AG-DMS - P2 - B1
11,Thousand Lights,ஆயிரம் விளக்கு,Blue,onward,11,P2,B1,train,FALSE,4,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Thousand Lights - P2 - B1
12,LIC,எல் ஐ சி,Blue,onward,12,P2,B1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,LIC - P2 - B1
13,Government Estate,அரசினர் தோட்டம்,Blue,onward,13,P2,B1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Government Estate - P2 - B1
14,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Blue,onward,14,P6,B2,train,FALSE,4,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Puratchi Thalaivar Dr. MG Ramachandran Central Metro - P6 - B2
15,Highcourt,ஹைகோர்ட்,Blue,onward,15,P2,B1,train,FALSE,3,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Highcourt - P2 - B1
16,Mannadi,மண்ணடி,Blue,onward,16,P2,B1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Mannadi - P2 - B1
17,Washermanpet Metro,வண்ணாரபேட்டை மெட்ரோ,Blue,onward,17,P2,B1,train,FALSE,3,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Washermanpet Metro - P2 - B1
18,Sir Thiyagaraya College Metro,சர் தியாகராயா கல்லூரி மெட்ரோ,Blue,onward,18,P2,B1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Sir Thiyagaraya College Metro - P2 - B1
19,Tondiarpet Metro,தண்டையார்பேட்டை மெட்ரோ,Blue,onward,19,P2,B1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Tondiarpet Metro - P2 - B1
20,New Washermanpet Metro,புது வண்ணாரபேட்டை மெட்ரோ,Blue,onward,20,P2,L1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,New Washermanpet Metro - P2 - L1
21,Tollgate Metro,சுங்கச்சாவடி மெட்ரோ,Blue,onward,21,P2,L1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Tollgate Metro - P2 - L1
22,Kaladipet Metro,காலடிபேட்டை மெட்ரோ,Blue,onward,22,P2,L1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Kaladipet Metro - P2 - L1
23,Thiruvottriyur Theradi Metro,திருவொற்றியூர் தேரடி மெட்ரோ,Blue,onward,23,P2,L1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Thiruvottriyur Theradi Metro - P2 - L1
24,Thiruvottriyur Metro,திருவொற்றியூர் மெட்ரோ,Blue,onward,24,P2,L1,train,FALSE,3,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Thiruvottriyur Metro - P2 - L1
25,Wimco Nagar Metro,விம்கோ நகர் மெட்ரோ,Blue,onward,25,P2,L1,train,FALSE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Wimco Nagar Metro - P2 - L1
26,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Blue,onward,26,P1,L1,train,TRUE,2,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Wimco Nagar Depot Metro - P1 - L1
27,Wimco Nagar Depot Metro,விம்கோ நகர் டேப்பொ மெட்ரோ,Blue,return,1,P1,L1,train,TRUE,,Chennai Airport,சென்னை விமான நிலையம்,Wimco Nagar Depot Metro - P1 - L1
